Topic Id,Top Words...
0,baltimore blood hold union employment till effect bay point maryland single nigger cruelty marked whipped lived words condition chief ship
1,bob farm peter till rosa isaac stock master slaves chapter men river dogs sir clock cave started don talk sold
2,mr covey lloyd colonel thomas henry whip michael week hugh bedford plantation work seldom read mind st farms slaveholder succeeded
3,place round set john mind back good end road plantation fast named flogged james fellow free poor weeks work cut
4,night family wife deacon malinda boat cincinnati running river horse run friends child buy gatewood ohio canada whitfield kentucky jack
5,master gentleman wife god states niggers good train boston replied coloured passengers philadelphia dear sir slator steamer liberty don persons
6,master time made house knew called day great asked morning told work good gave put left slave heard make found
7,mary master reuben cobb dan mr poor south barn slavery southern north horses dick burmey states confederate tillotson night clergy
8,mr friend till poor good mrs heard years william free brother aunt friends young uncle face feel dr happy wanted
9,mind god years road family small barn brother moment state father sabbath evil boy began parents passed general wood deeply
10,john cotton man long glasgow night brown labour england nigger ground finney thing women thomas whilst morgan pick task plant
11,grandmother children flint mother child linda ellen god dr don doctor slaves knew benjamin letter daughter bruce father benny town
12,slave slavery free back white thought life person slaveholders kind money felt city state law hand freedom property fugitive poor
13,mr boat louis st city orleans walker price jail whip slavery missouri field slave river captain purchased remained sold hired
14,farm presence school spirit souls kindly grandmother sails exceedingly write suddenly allowance rope deemed holidays sister year scarce copy performed
15,stevens till coloured captain feet reached punishment jack river chapter system billy smith anti negro de folks pen water bob
16,slaves man night mother day men found hands give slavery slave miles place god state eat left child chapter part
17,master told mr savannah doct haven horses replied servant man give horse jail eat buy whip sell back god mistress
18,id pb god mr type lg head captain overseer div2 ship john sic mate finally vessel item sea whipped whale
19,told long home heart mistress thought man night plantation family place colored back woman house day death mrs years freedom
